,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
57,6870,18356,105,5,87,0,3,756
58,14019,31739,71,10,29,0,2,469
59,5575,91416,69,6,39,0,5,109
60,5651,44634,71,16,99,1,9,396
61,4556,25617,63,22,3,0,3,302
62,2108,84934,61,8,91,0,1,351
63,3095,92786,92,31,24,1,1,774
64,5860,94527,73,16,32,0,3,41
65,2300,25905,63,21,12,0,1,302
66,4950,27400,63,14,78,1,9,302
67,7507,60920,64,13,61,0,2,231
68,2224,54388,64,20,4,0,1,483
69,2867,23376,78,19,18,0,1,374
70,5427,27677,72,10,82,1,3,345
71,12157,40432,77,21,66,0,2,369
72,8152,96230,79,19,70,0,2,568
73,2191,95647,61,9,16,1,1,439
74,26346,48268,223,28,26,0,2,1605
75,2364,46264,62,17,75,0,1,199
76,2710,92915,71,7,87,0,1,340
77,74228,88140,242,1,34,0,2,1742
78,14687,49080,85,3,61,0,2,612
79,9312,75986,115,11,44,0,3,89
80,7750,22668,67,5,34,1,2,33
81,2540,42557,65,4,35,0,1,57
82,2456,99801,73,15,59,0,1,525
83,3755,56178,94,1,39,0,1,451
84,5181,28522,70,9,64,1,7,336
85,32474,71449,102,17,7,0,2,734
86,8349,45428,109,3,46,0,3,487
87,8126,14616,107,2,73,0,3,513
88,13466,11432,119,17,9,0,2,571
89,5210,89781,66,7,89,0,5,37
90,6941,11527,111,3,73,3,6,532
91,7048,24030,194,14,0,0,1,970
92,26770,26335,113,32,7,1,2,355
93,9549,55986,119,3,60,0,9,388
94,4331,82302,106,11,92,0,1,722
95,7294,62548,113,12,66,2,7,733
96,3289,40097,92,23,35,4,1,227
97,2505,60546,63,21,71,0,1,46
98,3417,72460,85,9,76,0,1,370
99,16320,96619,247,5,12,3,5,1778
100,2838,15429,80,30,8,0,1,336
101,4700,76694,117,34,23,0,1,561
102,2471,95697,61,16,55,0,1,114
103,10130,59232,85,6,75,0,2,408
104,3419,40272,86,8,64,0,1,23
105,23866,60739,81,27,93,1,2,388
106,8324,47547,121,5,92,0,5,871
107,3179,65742,79,6,0,0,1,277
108,6672,56830,83,4,27,0,9,319
109,16407,22103,109,16,31,0,2,160
110,9371,66325,117,10,10,0,5,497
111,4270,30183,122,27,2,0,1,725
112,5799,60689,74,29,67,0,7,5
113,5096,22886,65,9,81,0,3,312
114,15563,31647,253,15,40,5,7,1214
115,7475,29633,196,26,57,0,1,534
116,9986,24067,132,12,2,0,6,633
117,5568,51489,139,14,10,0,1,236
118,20579,37604,69,5,26,0,2,566
119,8276,11319,82,29,92,0,2,590
120,4014,54054,99,7,55,0,1,5
121,12989,90593,65,16,3,0,2,312
122,15114,28513,100,4,22,1,2,480
123,4709,45313,66,17,29,0,3,470
124,2452,79898,62,5,86,1,1,271
125,3919,66676,97,0,40,0,1,558
126,4716,25746,61,0,84,1,3,292
127,12332,85789,105,18,54,2,2,122
128,35862,26376,121,7,19,0,2,580
129,2398,14321,65,20,72,0,1,423
130,6005,13528,86,21,35,0,3,412
131,6265,87414,84,18,25,1,4,481
132,8013,65636,67,15,72,0,2,321
133,4979,55041,71,17,57,0,5,340
134,4834,38713,66,31,69,4,6,316
135,3288,15547,102,16,1,1,1,734
136,5525,64816,69,30,33,0,7,331
137,9031,64383,122,15,47,0,9,650
138,4620,93226,130,11,0,0,1,936
139,5552,50470,71,1,87,0,8,377
140,3842,27906,102,5,57,0,1,489
141,5093,91814,63,30,99,0,3,167
142,16794,38399,106,12,6,0,2,368
143,24278,20983,97,10,52,1,2,451
144,7462,70263,93,30,66,0,5,7
145,3735,90003,110,3,16,0,1,792
146,2891,80590,71,4,19,0,1,134
147,11981,21514,62,0,59,0,2,257
148,2347,31617,62,17,29,1,1,244
149,4282,40864,109,16,70,1,1,166
150,5380,55350,67,0,13,0,9,321
151,5828,31364,74,28,47,0,3,461
152,5048,34452,126,2,51,0,1,604
153,7737,50296,65,26,62,1,2,46
154,7950,26189,69,6,42,0,2,331
155,4111,65085,103,20,55,0,1,480
156,8007,65605,112,12,93,0,3,537
157,4873,18866,126,4,62,0,1,604
158,2252,67682,65,13,84,0,1,468
159,4957,62803,62,16,12,0,5,400
160,2655,83460,66,20,18,0,1,443
161,5898,53998,78,5,38,5,8,414
162,17723,25771,222,21,58,0,4,1253
163,5108,26784,67,14,82,0,8,482
164,4517,25261,118,31,9,0,1,566
165,5310,41495,72,17,11,1,3,345
166,2773,73478,68,2,38,0,1,241
167,5504,36975,73,18,45,0,5,350
168,6960,74487,88,8,86,0,3,16
169,5010,64014,63,15,27,1,7,295
170,8488,80213,70,12,17,0,2,440
171,2471,95697,61,16,55,0,1,114
172,5876,32848,74,5,59,0,5,250
173,12313,26083,116,7,57,0,2,835
174,3982,38500,99,26,49,1,1,423
175,8237,23940,107,13,34,0,7,513
176,12487,31283,104,30,3,0,2,499
177,5366,88396,70,5,29,0,4,223
178,2517,85283,69,30,71,0,1,42
179,5583,57925,72,33,13,1,3,204
180,7356,81145,92,34,92,0,8,321
181,10144,27231,88,0,7,0,2,422
182,8672,22547,112,7,60,0,3,537
183,2674,56342,69,12,89,0,1,331
184,34611,20090,109,10,59,0,2,523
185,8071,72149,101,18,43,0,6,69
186,2511,17658,65,10,44,0,1,312
187,7255,10710,94,12,33,0,7,451
188,14510,60120,182,30,21,0,6,716
189,11009,51643,283,16,43,0,1,1358
190,21991,80807,109,1,73,0,2,132
191,4633,27132,63,32,59,1,4,302
192,5272,85607,66,26,1,0,3,67
193,4340,60346,62,22,39,0,6,446
194,5488,33881,68,11,83,0,9,65
195,14228,31650,121,25,17,0,2,580
196,12840,88204,90,1,94,0,2,648
197,2673,28728,67,8,10,0,1,321
198,5332,68931,66,32,30,0,7,309
199,10064,20440,128,11,54,2,9,614
200,8972,89689,74,23,4,0,2,136
201,8197,61613,110,27,87,0,3,528
202,3514,73643,89,2,2,0,1,147
203,4293,40056,61,18,15,0,8,292
204,3567,79744,102,28,11,0,1,660
205,2580,46900,66,13,59,0,1,316
206,46805,83006,235,8,61,1,2,1065
207,2666,79251,67,10,32,1,1,321
208,13057,43171,190,9,67,0,7,1833
209,5823,88359,73,1,49,0,9,35
210,9536,62421,80,22,50,2,2,384
211,8107,71094,76,0,91,0,2,364
212,3484,34307,92,33,62,2,1,186
213,34039,95135,104,26,66,0,2,499
214,7995,66685,67,35,50,2,2,38
215,11611,28915,76,10,49,0,2,364
216,4454,23438,68,5,72,1,3,326
217,5395,30997,74,13,30,0,4,355
218,8447,61337,105,35,46,0,9,2
219,2927,75685,73,35,47,0,1,369
220,2960,85272,82,0,28,0,1,590
221,6582,89169,62,3,44,0,2,297
222,2693,63684,68,16,87,0,1,343
223,2844,80306,71,11,12,0,1,340
224,6331,37975,87,3,82,0,3,94
225,5837,83308,73,2,81,0,7,419
226,4727,44305,72,23,7,0,3,345
227,4434,34549,111,8,78,0,1,125
228,5568,35581,79,21,53,1,7,407
229,7031,16224,93,13,55,0,9,498
230,2449,47122,62,6,77,0,1,297
231,2504,60282,69,23,15,0,1,496
232,9095,37937,116,11,42,0,5,556
233,8071,67945,112,3,84,0,7,806
234,15032,17150,65,28,19,0,2,689
235,8256,62902,69,14,94,0,2,159
236,11009,51643,283,16,43,0,1,1358
237,5318,25134,67,3,0,0,6,321
238,4733,13320,62,5,41,0,3,740
239,33473,33190,106,18,95,0,2,508
240,4550,17913,116,0,39,0,1,556
241,4772,20993,133,35,90,0,1,638
242,6285,52210,80,6,74,0,9,384
243,4434,58082,112,31,66,1,1,103
244,17254,50850,69,33,49,1,2,331
245,2915,86599,73,32,89,0,1,350
246,15762,44362,66,15,75,0,2,142
247,4273,82214,106,11,19,1,1,239
248,2816,41228,71,19,13,0,1,340
249,5548,67798,69,1,78,0,9,331
250,32654,97936,153,7,75,0,2,1101
251,7687,98471,109,0,5,0,3,523
252,4151,91743,61,11,71,1,9,208
253,2927,51991,73,4,95,0,1,124
254,2943,64286,81,13,23,0,1,388
255,5320,88669,66,9,18,1,4,213
256,4858,22702,67,21,79,3,3,482
257,7590,10375,66,10,95,0,2,316
258,4605,22571,63,29,51,0,9,302
259,7555,55749,114,15,50,0,3,820
260,9587,84539,119,10,71,0,4,65
261,2780,20261,72,4,55,0,1,345
262,4784,25813,61,8,97,0,8,205
263,4873,47824,129,8,56,3,1,546
264,4786,80275,68,4,67,0,9,489
265,15994,61248,159,19,75,0,2,1410
266,5395,86640,67,2,25,0,5,65
267,2356,99078,63,22,94,0,1,302
268,5133,53390,64,13,41,0,5,278
269,4996,25915,64,13,62,0,7,317
270,4455,70712,121,16,64,0,1,699
271,3921,62445,98,19,12,1,1,681
272,20171,24804,73,19,98,0,2,350
273,5528,36088,72,16,31,0,9,345
274,4077,53093,103,3,62,0,1,98
275,4917,47683,71,27,81,0,5,511
276,5686,30242,72,30,23,0,3,48
277,8025,83872,77,27,26,0,2,25
278,4165,58299,105,13,22,0,1,504
279,19259,35973,159,5,97,0,2,763
280,2486,36635,63,20,28,0,1,302
281,5948,88122,148,15,10,0,1,840
282,10996,35820,104,29,73,0,2,748
283,4803,19508,69,31,25,0,7,496
284,7761,43137,96,8,41,0,8,460
285,4334,23904,123,1,67,3,1,590
286,7695,50147,101,4,37,0,3,484
287,2397,22283,65,16,93,0,1,572
288,42561,66661,119,23,41,0,2,571
289,7153,32238,91,15,80,0,4,439
290,6143,45032,77,13,35,0,3,36
291,26180,68189,82,10,17,1,2,343
292,18688,29351,76,2,66,0,2,364
293,7089,52707,90,33,66,1,6,432
294,15000,62473,76,6,70,1,2,507
295,41787,46587,119,34,74,2,2,571
296,2470,36643,74,12,20,0,1,721
297,4786,23402,61,29,38,0,7,292
298,7918,44698,211,0,88,4,1,1012
299,2858,27382,71,33,35,0,1,134
300,2719,41005,70,22,37,0,1,336
301,5714,23726,74,1,83,0,9,355
302,2837,90893,70,8,82,0,1,70
303,2535,82776,68,24,73,0,1,326
304,5623,31504,71,8,27,0,3,340
305,9061,73876,112,19,71,0,8,419
306,5555,74015,72,12,61,0,6,471
307,7937,22862,67,9,40,0,2,321
308,11790,25251,66,13,43,0,2,316
309,22305,73577,102,13,89,0,2,401
310,6328,86536,100,17,21,2,4,648
311,8433,57961,72,27,64,0,2,38
312,9657,10145,131,34,61,0,9,628
313,7559,86411,119,33,58,1,3,964
314,5755,97657,71,2,19,0,8,107
315,2868,40046,73,10,51,0,1,118
316,8256,62902,69,14,94,0,2,159
317,6595,54499,105,2,38,2,7,847
318,8725,69772,112,17,38,0,9,537
319,3444,30967,93,10,63,0,1,7
320,5217,39854,66,6,4,0,7,261
321,4260,26991,119,34,65,0,1,856
322,2769,40506,70,14,98,0,1,113
323,2933,83241,83,2,62,0,1,199
324,11124,46994,112,25,69,0,2,806
325,5394,65978,67,3,50,0,3,251
326,2816,42937,71,14,9,0,1,251
327,2585,28137,65,23,2,0,1,312
328,4236,14476,113,11,0,0,1,542
329,2544,91169,65,6,50,1,1,139
330,34708,73183,109,3,19,0,2,718
331,3034,68205,76,35,14,0,1,99
332,7844,71144,102,20,46,0,3,273
333,3259,52782,85,20,61,4,1,541
334,4282,40864,109,16,70,1,1,166
335,2280,10378,61,16,29,0,1,283
336,5794,88370,74,0,16,1,9,355
337,12520,46476,126,4,59,0,2,907
338,4089,60759,104,20,85,0,1,499
339,5771,65709,72,33,77,0,3,12
340,5133,38795,65,23,64,0,3,98
341,2531,31993,66,14,4,1,1,39
342,9756,67632,121,0,44,0,4,26
343,2329,20934,61,14,35,1,1,292
344,2514,43860,65,15,58,0,1,156
345,4647,28314,121,21,37,0,1,580
346,2719,14030,72,11,3,0,1,345
347,3280,63297,82,1,33,0,1,251
348,9976,74115,63,24,24,0,2,275
349,2738,23446,74,27,91,0,1,263
350,2476,47918,62,2,51,0,1,246
351,7250,55731,69,17,10,0,2,496
352,5504,97613,73,18,45,0,5,350
353,3776,68727,94,19,76,0,1,386
354,8932,60909,112,8,94,0,5,412
355,6352,80587,78,7,5,0,6,276
356,3785,26318,96,23,29,0,1,679
357,12663,27739,104,16,22,0,2,3
358,12625,79421,104,2,85,0,2,115
359,4964,52679,62,21,3,0,4,117
360,8658,62464,109,23,45,0,4,400
361,28119,68211,99,9,21,0,2,475
362,17435,54105,73,22,15,2,2,350
363,5553,15881,89,1,84,1,4,640
364,3996,46210,100,2,44,0,1,46
365,4911,32903,64,4,41,3,3,98
366,5174,88081,64,35,94,0,5,82
367,2499,28264,63,13,9,3,1,364
368,2886,10312,78,10,63,0,1,486
369,15122,38084,72,35,86,0,2,518
370,9517,37578,87,13,76,0,2,417
371,4772,15323,128,30,61,0,1,614
372,3966,72439,100,5,22,1,1,480
373,2750,51789,70,8,34,0,1,336
374,2175,34408,61,31,15,0,1,479
375,8663,29218,72,33,40,0,2,502
376,5200,23401,66,17,34,0,3,316
377,27528,54586,76,1,91,0,2,122
378,4731,69833,118,32,99,0,1,828
379,4791,29111,63,3,65,0,5,302
380,3300,59592,84,8,49,0,1,161
381,6189,59523,78,21,62,3,8,343
382,2619,60477,65,12,38,0,1,139
383,4049,42512,105,15,72,1,1,77
384,17684,82667,64,5,65,1,2,307
385,17497,35615,73,9,94,0,2,350
386,8018,58843,68,1,96,0,2,200
387,5379,24702,68,13,63,0,8,214
388,4148,61896,104,25,97,0,1,461
389,11790,25251,66,13,43,0,2,316
390,7851,48943,65,17,50,0,2,105
391,2680,41968,67,11,96,0,1,183
392,2981,48836,83,26,89,0,1,582
393,4282,40864,109,16,70,1,1,166
394,4165,40863,64,27,32,3,5,575
395,5783,72354,73,9,10,0,8,13
396,4904,12902,139,3,51,0,1,667
397,22332,49078,97,10,3,0,2,484
398,6615,90414,83,7,49,1,6,398
399,5352,93606,67,23,44,0,3,321
400,8561,37759,108,9,51,0,5,518
401,2798,48675,71,26,62,1,1,340
402,11663,95058,107,12,34,0,2,513
403,12280,88340,102,16,1,0,2,489
404,8160,24349,109,15,61,0,7,523
405,8714,26854,118,14,64,0,4,566
406,6900,63629,92,27,50,0,7,428
407,14854,37899,187,9,11,0,5,246
408,2388,59200,73,12,84,0,1,677
409,8518,50328,112,19,86,1,8,537
410,6731,16346,62,0,5,0,2,446
411,4064,40080,107,31,41,0,1,513
412,4477,41402,119,26,26,4,1,571
413,15173,22448,126,20,32,0,2,604
414,2955,56502,74,15,78,0,1,355
415,4525,10269,65,12,5,0,3,170
416,2912,93403,73,18,32,0,1,295
417,5461,39626,69,25,0,1,3,485
418,3061,56869,83,25,34,3,1,269
419,25807,71210,214,8,89,1,2,1027
420,8954,34614,114,8,9,1,3,547
421,4633,25338,70,0,86,0,3,336
422,6647,91706,65,34,27,0,2,312
423,4951,46896,62,9,33,1,4,31
424,8522,32344,109,19,2,0,3,723
425,4605,22571,63,29,51,0,9,302
426,5337,58194,86,19,93,3,5,619
427,6689,56980,84,33,70,0,7,599
428,3412,30335,87,17,42,0,1,326
429,2063,53097,64,22,34,3,1,602
430,2393,45286,70,24,10,0,1,425
431,4764,90976,67,18,73,0,8,405
432,2568,11167,73,4,99,0,1,350
433,4376,87336,69,21,70,4,3,331
434,23594,76358,66,25,3,0,2,86
435,8223,95102,101,12,73,0,8,94
436,8490,28677,78,3,30,0,2,131
437,6183,36464,78,5,17,0,7,93
438,12047,43324,101,8,17,0,2,284
439,8838,82664,114,24,10,3,9,133
440,3548,16741,96,10,77,0,1,446
441,6960,74487,88,8,86,0,3,16
442,13736,16181,181,22,79,0,8,1261
443,8438,25539,112,15,63,0,3,585
444,5096,22886,65,9,81,0,3,312
445,12280,88340,102,16,1,0,2,489
446,2926,23656,80,11,1,3,1,384
447,7851,25950,66,27,1,0,2,271
448,2414,94689,71,25,30,0,1,511
449,10348,34244,87,14,34,2,2,417
450,5894,39381,74,8,55,1,7,355
451,23086,69240,194,16,29,0,2,744
452,8509,26057,74,3,63,0,2,523
453,2503,53338,63,24,35,1,1,35
454,4200,51510,106,11,17,0,1,688
455,5363,64604,67,18,71,1,8,272
456,33279,59130,117,5,7,0,2,436
457,7284,10334,64,5,80,0,2,296
458,7281,98157,69,28,28,3,2,371
459,6410,61709,82,5,41,2,7,275
460,2937,83195,73,18,36,1,1,332
461,26223,95886,115,24,15,2,2,828
462,3401,41972,86,20,23,0,1,691
463,2640,59961,68,8,7,0,1,291
464,2701,39141,68,22,7,0,1,402
465,6988,22436,89,24,21,0,3,427
466,7896,76431,111,22,21,0,8,190
467,5510,99553,68,14,85,0,6,111
468,5282,38606,68,16,99,0,3,413
469,18853,92298,173,24,21,0,2,1245
470,2936,27179,74,12,69,0,1,355
471,3781,57647,94,3,99,0,1,451
472,5867,27880,74,4,9,0,5,199
473,5989,66839,154,33,24,0,1,739
474,2671,45525,66,1,41,0,1,316
475,17622,41167,252,31,10,0,3,1814
476,34611,20090,109,10,59,0,2,523
477,13438,69693,112,4,62,0,2,537
478,13156,72517,82,33,27,0,2,371
479,8879,52583,113,12,59,0,7,528
480,2429,26736,63,6,64,0,1,367
481,5116,30820,70,1,11,0,5,131
482,2351,12928,64,12,74,0,1,307
483,5981,88723,74,12,94,0,8,355
484,8288,33816,106,10,97,2,3,508
485,2521,53703,67,3,45,2,1,67
486,2471,95697,61,16,55,0,1,114
487,6874,22093,87,15,8,0,9,616
488,12296,55193,105,8,22,1,2,504
489,6106,16654,79,23,31,0,7,379
490,9223,18814,122,20,94,0,3,585
491,6878,39020,87,0,4,0,5,485
492,12902,86584,111,33,54,2,2,532
493,10346,55906,86,12,3,0,2,58
494,20096,92766,71,17,15,0,2,379
495,8861,41854,110,17,44,0,8,481
496,9035,34337,113,14,44,0,9,542
497,7503,52464,95,9,15,0,3,515
498,4462,70088,112,0,33,0,1,536
499,3245,35592,82,34,38,0,1,496
500,2651,33201,66,9,56,0,1,314
501,2379,43886,71,28,15,0,1,747
502,4642,12520,64,10,15,0,5,770
503,11003,64906,102,20,7,1,2,489
504,17771,22910,114,30,1,0,2,547
505,4516,14018,124,29,9,0,1,595
506,9426,26263,85,11,31,0,2,475
507,4992,45473,71,6,5,0,3,653
508,5732,39337,74,29,1,1,9,277
509,7821,90737,109,31,74,0,3,784
510,2308,99116,64,33,98,0,1,431
511,6788,33642,93,2,70,0,9,855
512,2776,70793,69,32,1,0,1,62
513,6141,96201,182,24,45,0,1,1310
514,4628,16677,67,25,21,0,4,482
515,12883,77469,109,2,98,1,2,757
516,16477,57264,84,0,30,1,2,129
517,2864,26035,109,2,8,4,1,1145
518,4737,87653,68,2,26,0,3,326
519,2417,51808,61,3,12,1,1,351
520,2300,25905,63,21,12,0,1,302
521,6874,53173,96,35,27,0,6,691
522,3887,96335,97,7,43,0,1,161
523,3619,56453,98,27,47,0,1,310
524,8622,97361,73,6,85,0,2,350
525,10148,44856,66,24,71,1,2,316
526,4928,97917,67,14,32,5,3,279
527,2874,33462,72,12,9,0,1,112
528,19327,57245,124,25,15,0,2,681
529,4941,74646,137,17,5,0,1,986
530,7255,67352,181,7,80,1,1,560
531,2759,64388,69,8,51,0,1,331
532,13379,82302,194,13,83,0,3,1396
533,24084,65196,67,0,54,0,2,396
534,8847,17950,118,34,24,0,4,425
535,16979,35095,73,25,56,0,2,525
536,2530,89451,63,4,2,0,1,61
537,6355,87978,61,25,79,0,2,292
538,5308,31772,145,29,70,0,1,358
539,2359,19864,63,22,96,0,1,352
540,8564,95697,107,29,29,0,9,178
541,3167,61638,82,8,55,0,1,544
542,7986,74217,100,35,3,0,6,418
543,3554,58557,88,4,83,0,1,55
544,13840,29658,119,20,66,0,2,571
545,2530,89451,63,11,2,0,1,61
546,24238,37364,109,19,49,2,2,784
547,13466,11432,119,11,9,0,2,571
548,3052,33671,93,15,31,3,1,446
549,9161,91763,113,22,64,0,3,441
550,11578,66138,115,21,46,0,2,1163
551,3900,95018,97,21,81,0,1,315
552,23903,59709,74,12,72,1,2,355
553,2399,20992,64,21,73,0,1,307
554,5010,64014,63,26,27,0,7,295
555,8112,87403,68,1,63,0,2,456
556,3647,20694,94,29,89,1,1,451
557,5384,59364,67,25,56,0,5,321
558,2772,68463,70,19,67,1,1,336
559,4911,76925,69,26,33,0,9,496
560,2574,34990,65,23,73,0,1,42
561,9594,31421,81,5,95,0,2,388
562,10208,35482,129,21,59,0,3,619
563,9217,26351,119,14,87,0,7,571
564,10506,61650,88,8,2,0,2,117
565,7619,39515,105,5,42,0,5,504
566,8991,17331,117,13,39,0,6,1138
567,4923,31093,63,3,78,0,3,302
568,18745,27229,99,20,9,0,2,475
569,4525,32802,114,31,8,0,1,547
570,10732,75728,133,24,68,0,4,44
571,2703,13122,72,19,48,0,1,41
572,2458,49521,70,20,44,0,1,504
573,11790,25251,66,13,43,0,2,316
574,8149,52229,71,28,76,0,2,340
575,5558,69250,188,5,61,4,1,2156
576,2678,37552,83,3,85,1,1,398
577,5821,77563,143,35,58,0,1,545
578,2541,23692,65,26,27,2,1,312
579,5471,53526,68,27,69,0,4,278
580,4879,67163,61,17,41,2,5,33
581,2691,77411,67,4,63,3,1,257
582,5325,31237,73,17,44,0,7,496
583,3440,23870,91,4,92,0,1,500
584,4782,81687,61,7,77,0,6,292
585,5484,47611,69,17,65,0,4,593
586,5619,24031,153,25,5,0,1,1027
587,22721,21724,198,4,51,0,2,1505
588,17019,89601,70,16,8,0,2,117
589,2666,86321,66,7,25,0,1,316
590,5704,50695,71,31,30,0,5,110
591,3875,67002,117,11,29,0,1,842
592,10914,71656,137,3,88,0,8,61
593,3571,73853,89,7,35,0,1,427
594,22103,95914,102,35,48,0,2,489
595,7138,19794,93,24,80,0,8,603
596,5138,72264,64,2,66,0,9,272
597,2476,47918,62,0,51,1,1,246
598,5375,69050,67,17,38,0,3,334
599,8268,95419,70,6,61,3,2,336
600,5055,88989,63,19,28,1,3,232
601,4795,33068,61,6,77,1,6,213
602,6325,19222,89,4,86,0,7,614
603,9743,24028,82,14,27,0,2,393
604,6631,32918,84,33,69,0,3,403
605,31162,83170,97,0,53,0,2,344
606,4563,17888,124,32,39,0,1,595
607,4883,58682,61,24,34,0,4,206
608,5140,56150,138,22,18,0,1,900
609,3548,76114,88,6,97,0,1,422
610,10541,59965,131,7,54,0,7,905
611,8009,41247,107,17,8,0,3,740
612,7606,47778,96,2,81,0,7,173
613,30763,41279,115,1,30,0,2,251
614,2726,92622,73,8,63,0,1,376
615,4751,30887,119,15,18,0,1,444
616,2631,48414,71,11,68,0,1,340
617,38545,41104,109,4,10,0,2,440
618,4988,38928,64,14,18,0,8,326
619,2609,60798,66,21,57,0,1,316
620,15470,68086,194,34,6,0,3,218
621,5324,31561,68,8,62,0,7,326
622,3763,93595,97,15,30,4,1,49
623,9057,91025,112,13,37,0,9,327
624,6105,32099,84,0,57,0,5,395
625,5886,53977,81,28,37,0,4,583
626,4458,17622,65,1,36,1,3,312
627,2660,53333,66,4,34,0,1,22
628,3870,17116,106,8,65,0,1,508
629,2616,72302,66,6,27,0,1,316
630,8110,52548,101,10,1,0,5,587
631,2448,87802,63,2,43,5,1,173
632,2472,63860,62,26,81,0,1,208
633,6191,67897,199,4,29,3,1,955
634,16301,19614,85,21,32,0,2,574
635,6047,20396,76,15,60,1,4,364
636,20635,84106,64,0,86,0,2,334
637,4655,88240,117,3,94,0,1,561
638,4686,58089,118,31,83,0,1,566
639,5251,59537,66,23,5,0,7,316
640,8672,82396,245,34,83,0,1,2345
641,3199,78784,80,33,72,0,1,239
642,6871,67234,196,5,59,2,1,940
643,2388,99026,73,12,84,0,1,677
644,7284,10334,64,5,80,0,2,296
645,6739,25876,96,13,43,0,7,1012
646,9112,75843,90,21,21,0,2,432
647,10395,81263,95,22,59,0,2,337
648,4885,26372,126,11,7,0,1,604
649,8332,13464,79,7,72,0,2,379
650,5093,95185,71,12,55,0,3,150
651,3141,24019,79,14,27,0,1,47
652,2582,76731,64,2,68,0,1,201
653,25807,71210,214,8,89,1,2,1027
654,14083,74916,62,8,34,4,2,123
655,5085,52055,72,15,18,1,3,571
656,6457,37548,81,12,9,0,3,160
657,5607,39507,70,32,17,0,5,283
658,13092,16756,188,35,82,0,7,1353
659,6459,23235,82,32,46,0,3,483
660,7840,76460,76,17,34,1,2,364
661,5645,50366,72,9,5,0,9,428
662,4995,82413,62,12,79,0,3,297
663,5791,80480,72,6,55,0,7,242
664,14040,37853,195,9,33,1,5,669
665,7484,51692,186,12,28,0,1,892
666,5009,11029,69,9,95,0,4,496
667,2551,79751,63,15,67,0,1,392
668,9233,42600,115,10,78,0,3,660
669,4185,95519,64,0,56,0,3,492
670,4490,22267,64,13,11,0,3,254
671,38055,44661,115,21,78,0,2,552
672,2996,26189,82,9,21,0,1,590
673,8622,97361,73,6,85,0,2,350
674,5568,53295,70,12,97,0,8,250
675,4995,10787,71,33,25,0,8,697
676,3954,40175,102,34,78,1,1,154
677,2685,75329,67,15,17,0,1,45
678,2498,76792,62,12,27,0,1,297
679,25807,71210,214,8,89,1,2,1027
680,5120,69513,76,11,14,4,3,277
681,9192,37388,117,30,21,0,5,561
682,13334,47950,170,23,86,1,8,780
683,4914,14232,64,13,1,0,5,307
684,4428,58577,110,6,62,0,1,303
685,5107,70174,64,18,80,0,7,128
686,2949,78596,73,11,0,0,1,106
687,4312,21004,62,27,20,0,3,297
688,4553,61064,113,32,77,0,1,539
689,4583,94804,115,13,79,4,1,764
690,7255,39786,91,25,91,0,9,365
