song,artist,song_lower,song_lower_shorthand
The Last Time,All That Remains,the last time,the last time
"Promises, Promises",Incubus,"promises, promises",promises promises
1983,Neon Trees,1983,1983
Bi**h Came Back,Theory Of A Deadman,bi**h came back,bi**h came back
Miss America,Saving Abel,miss america,miss america
Long Time,Cake,long time,long time
Hell,Disturbed,hell,hell
Colours,Grouplove,colours,colours
Around My Head,Cage The Elephant,around my head,around my head
Every Time You Go,3 Doors Down,every time you go,every time you go
People Say,Portugal. The Man,people say,people say
Digital (Did You Tell),Stone Sour,digital (did you tell),digital
Pyro,Kings Of Leon,pyro,pyro
Killing Me Inside,Crossfade,killing me inside,killing me inside
You've Seen The Butcher,Deftones,you've seen the butcher,youve seen the butcher
Justice,Rev Theory,justice,justice
Old Man,Redlight King,old man,old man
Dead,Buckcherry,dead,dead
Bulletproof Heart,My Chemical Romance,bulletproof heart,bulletproof heart
Iridescent,Linkin Park,iridescent,iridescent
This Is Why We Fight,The Decemberists,this is why we fight,this is why we fight
What Ya Gonna Do,Hinder,what ya gonna do,what ya gonna do
Junk Of The Heart (Happy),The Kooks,junk of the heart (happy),junk of the heart
Somebody That I Used To Know,Gotye featuring Kimbra,somebody that i used to know,somebody that i used to know
Madness,Muse,madness,madness
Chalk Outline,Three Days Grace,chalk outline,chalk outline
Bully,Shinedown,bully,bully
Been Away Too Long,Soundgarden,been away too long,been away too long
Live To Rise,Soundgarden,live to rise,live to rise
Gold On The Ceiling,The Black Keys,gold on the ceiling,gold on the ceiling
Too Close,Alex Clare,too close,too close
Unity,Shinedown,unity,unity
Some Nights,fun.,some nights,some nights
Ho Hey,The Lumineers,ho hey,ho hey
Little Talks,Of Monsters And Men,little talks,little talks
Coming Down,Five Finger Death Punch,coming down,coming down
We Are Young,fun. Feat Janelle Monaé,we are young,we are young
Still Counting,Volbeat,still counting,still counting
You're A Lie,Slash featuring Myles Kennedy & The Conspirators,you're a lie,youre a lie
Tongue Tied,Grouplove,tongue tied,tongue tied
I Will Wait,Mumford & Sons,i will wait,i will wait
Criticize,Adelitas Way,criticize,criticize
BURN IT DOWN,Linkin Park,burn it down,burn it down
I Miss The Misery,Halestorm,i miss the misery,i miss the misery
Remember Everything,Five Finger Death Punch,remember everything,remember everything
Enemies,Shinedown,enemies,enemies
These Days,Foo Fighters,these days,these days
Absolute Zero,Stone Sour,absolute zero,absolute zero
No Resolution,Seether,no resolution,no resolution
Hats Off To The Bull,Chevelle,hats off to the bull,hats off to the bull
A Warrior's Call,Volbeat,a warrior's call,a warriors call
Love Bites (So Do I),Halestorm,love bites (so do i),love bites
Days Go By,The Offspring,days go by,days go by
The Collapse,Adelitas Way,the collapse,the collapse
Still Swingin',Papa Roach,still swingin',still swingin
Oh Love,Green Day,oh love,oh love
Bullet In My Hand,Redlight King,bullet in my hand,bullet in my hand
Lost In Forever (Scream),P.O.D.,lost in forever (scream),lost in forever
Not Your Fault,AWOLNATION,not your fault,not your fault
It's Time,Imagine Dragons,it's time,its time
Standing In The Sun,Slash featuring Myles Kennedy & The Conspirators,standing in the sun,standing in the sun
Monarchy Of Roses,Red Hot Chili Peppers,monarchy of roses,monarchy of roses
Take A Walk,Passion Pit,take a walk,take a walk
Midnight City,M83,midnight city,midnight city
Don't Stop (Color On The Walls),Foster The People,don't stop (color on the walls),dont stop
Eyes Wide Open,Staind,eyes wide open,eyes wide open
Hurricane,Theory Of A Deadman,hurricane,hurricane
Here And Now,Seether,here and now,here and now
I Like It,Foxy Shazam,i like it,i like it
We Come Running,Youngblood Hawke,we come running,we come running
Narcissistic Cannibal,Korn featuring Skrillex & Kill The Noise,narcissistic cannibal,narcissistic cannibal
This Means War,Nickelback,this means war,this means war
Kill Your Heroes,AWOLNATION,kill your heroes,kill your heroes
Everybody Talks,Neon Trees,everybody talks,everybody talks
The Waiting One,All That Remains,the waiting one,the waiting one
Aberdeen,Cage The Elephant,aberdeen,aberdeen
Satellite,Rise Against,satellite,satellite
Lost In The Echo,Linkin Park,lost in the echo,lost in the echo
After Midnight,Blink-182,after midnight,after midnight
Bloody Mary (Nerve Endings),Silversun Pickups,bloody mary (nerve endings),bloody mary
Runaways,The Killers,runaways,runaways
Look Around,Red Hot Chili Peppers,look around,look around
Rocky Mountain Way,Godsmack,rocky mountain way,rocky mountain way
Blood,In This Moment,blood,blood
Boss' Daughter,Pop Evil,boss' daughter,boss daughter
Anna Sun,Walk The Moon,anna sun,anna sun
In My Blood,Black Stone Cherry,in my blood,in my blood
Itchin' On A Photograph,Grouplove,itchin' on a photograph,itchin on a photograph
Wait For Me,Rise Against,wait for me,wait for me
Simple Song,The Shins,simple song,simple song
Now,Staind,now,now
Shake It Out,Florence + The Machine,shake it out,shake it out
45,The Gaslight Anthem,45,45
Let Yourself Go,Green Day,let yourself go,let yourself go
Sixteen Saltines,Jack White,sixteen saltines,sixteen saltines
Spread Too Thin,The Dirty Heads,spread too thin,spread too thin
Bringing Down The Giant,Saving Abel,bringing down the giant,bringing down the giant
Love Interruption,Jack White,love interruption,love interruption
Tattoo,Van Halen,tattoo,tattoo
Bridge Burning,Foo Fighters,bridge burning,bridge burning
Curl Of The Burl,Mastodon,curl of the burl,curl of the burl
Youth Without Youth,Metric,youth without youth,youth without youth
Charlie Brown,Coldplay,charlie brown,charlie brown
Satisfied,Aranda,satisfied,satisfied
Jump Into The Fog,The Wombats,jump into the fog,jump into the fog
Let's Ride,Kid Rock,let's ride,lets ride
Baby Come Home,Bush,baby come home,baby come home
Headlights,Morning Parade,headlights,headlights
"No Light, No Light",Florence + The Machine,"no light, no light",no light no light
Legendary Child,Aerosmith,legendary child,legendary child
Figure It Out,Serj Tankian,figure it out,figure it out
Blood For Poppies,Garbage,blood for poppies,blood for poppies
Get Thru This,Art Of Dying,get thru this,get thru this
Punching In A Dream,The Naked And Famous,punching in a dream,punching in a dream
Purple,Pop Evil,purple,purple
Backlash,10 Years,backlash,backlash
Comeback,Redlight King,comeback,comeback
Race You To The Bottom,New Medicine,race you to the bottom,race you to the bottom
Sleep Alone,Two Door Cinema Club,sleep alone,sleep alone
Afterlife,Switchfoot,afterlife,afterlife
Settle Down,No Doubt,settle down,settle down
Soldiers,Otherwise,soldiers,soldiers
America,Deuce,america,america
Radioactive,Imagine Dragons,radioactive,radioactive
Sweater Weather,The Neighbourhood,sweater weather,sweater weather
Hail To The King,Avenged Sevenfold,hail to the king,hail to the king
Come A Little Closer,Cage The Elephant,come a little closer,come a little closer
Royals,Lorde,royals,royals
Battle Born,Five Finger Death Punch,battle born,battle born
Hollow,Alice In Chains,hollow,hollow
Pompeii,Bastille,pompeii,pompeii
Trenches,Pop Evil,trenches,trenches
The Hangman's Body Count,Volbeat,the hangman's body count,the hangmans body count
Stone,Alice In Chains,stone,stone
Out Of My League,Fitz & The Tantrums,out of my league,out of my league
Stand Up (Stand Up),All That Remains,stand up (stand up),stand up
Freak Like Me,Halestorm,freak like me,freak like me
Never Never,Korn,never never,never never
Vilify,Device,vilify,vilify
By Crooked Steps,Soundgarden,by crooked steps,by crooked steps
Safe And Sound,Capital Cities,safe and sound,safe and sound
Bones,Young Guns,bones,bones
Misery Loves My Company,Three Days Grace,misery loves my company,misery loves my company
Heaven Nor Hell,Volbeat,heaven nor hell,heaven nor hell
The High Road,Three Days Grace,the high road,the high road
Deal With The Devil,Pop Evil,deal with the devil,deal with the devil
Lola Montez,Volbeat,lola montez,lola montez
Out Of Time,Stone Temple Pilots with Chester Bennington,out of time,out of time
Demons,Imagine Dragons,demons,demons
Mountain Sound,Of Monsters And Men,mountain sound,mountain sound
Mind Your Manners,Pearl Jam,mind your manners,mind your manners
Little Black Submarines,The Black Keys,little black submarines,little black submarines
Stubborn Love,The Lumineers,stubborn love,stubborn love
Ways To Go,Grouplove,ways to go,ways to go
I'll Follow You,Shinedown,i'll follow you,ill follow you
Lift Me Up,Five Finger Death Punch featuring Rob Halford of Judas Priest,lift me up,lift me up
Panic Station,Muse,panic station,panic station
Where Did The Angels Go,Papa Roach,where did the angels go,where did the angels go
Carry On,Avenged Sevenfold,carry on,carry on
From Can To Can't,Dave Grohl,from can to can't,from can to cant
There's No Going Back,Sick Puppies,there's no going back,theres no going back
Tempest,Deftones,tempest,tempest
The Pit,Silversun Pickups,the pit,the pit
Voices,Alice In Chains,voices,voices
Up In The Air,Thirty Seconds To Mars,up in the air,up in the air
Trojans,Atlas Genius,trojans,trojans
Harlem,New Politics,harlem,harlem
Leader Of The Broken Hearts,Papa Roach,leader of the broken hearts,leader of the broken hearts
Do Me A Favor,Stone Sour,do me a favor,do me a favor
Sirens,Pearl Jam,sirens,sirens
Lover Of The Light,Mumford & Sons,lover of the light,lover of the light
Beautiful,P.O.D.,beautiful,beautiful
Get Lucky,Daft Punk featuring Pharrell Williams,get lucky,get lucky
Howl,Beware Of Darkness,howl,howl
Swerve City,Deftones,swerve city,swerve city
Anastasia,Slash featuring Myles Kennedy & The Conspirators,anastasia,anastasia
Came Back Haunted,Nine Inch Nails,came back haunted,came back haunted
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,my songs know what you did in the dark (light em up),my songs know what you did in the dark
Miss Jackson,Panic! At The Disco feat. Lolo,miss jackson,miss jackson
Same Old Trip,Chevelle,same old trip,same old trip
Carry On,fun.,carry on,carry on
A Light That Never Closes,Linkin Park x Steve Aoki,a light that never closes,a light that never closes
God Is Dead?,Black Sabbath,god is dead?,god is dead?
Hurricane,MS MR,hurricane,hurricane
If So,Atlas Genius,if so,if so
Elephant,Tame Impala,elephant,elephant
By And Down,A Perfect Circle,by and down,by and down
City Of Angels,Thirty Seconds To Mars,city of angels,city of angels
One Light,3 Doors Down,one light,one light
We're An American Band,Rob Zombie,we're an american band,were an american band
Alive,Adelitas Way,alive,alive
Good Man,Devour The Day,good man,good man
Born To Rise,Redlight King,born to rise,born to rise
Breezeblocks,alt-J,breezeblocks,breezeblocks
Sick Of It,Skillet,sick of it,sick of it
Supersoaker,Kings Of Leon,supersoaker,supersoaker
Holding On To You,twenty one pilots,holding on to you,holding on to you
Decay,Sevendust,decay,decay
Trying To Be Cool,Phoenix,trying to be cool,trying to be cool
"Fire, Fire",Heavens Basement,"fire, fire",fire fire
Breathing Underwater,Metric,breathing underwater,breathing underwater
Diane Young,Vampire Weekend,diane young,diane young
Entertainment,Phoenix,entertainment,entertainment
Higher,P.O.D.,higher,higher
Wake Me Up!,Avicii,wake me up!,wake me up!
The Pride,Five Finger Death Punch,the pride,the pride
Seether,Seether,seether,seether
San Francisco,The Mowgli's,san francisco,san francisco
Black Heart,Stone Temple Pilots with Chester Bennington,black heart,black heart
Hero,Family Of The Year,hero,hero
Halfway There,Soundgarden,halfway there,halfway there
Now,Paramore,now,now
Asking Too Much,All That Remains,asking too much,asking too much
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,thrift shop,thrift shop
One More Lie,Aranda,one more lie,one more lie
Tightrope,Walk The Moon,tightrope,tightrope
Purple Yellow Red And Blue,Portugal. The Man,purple yellow red and blue,purple yellow red and blue
Dead City Radio And The New Gods Of Supertown,Rob Zombie,dead city radio and the new gods of supertown,dead city radio and the new gods of supertown
I Don't Apologize (1000 Pictures),Otherwise,i don't apologize (1000 pictures),i dont apologize
What Do You Say,Filter,what do you say,what do you say
Castle Of Glass,Linkin Park,castle of glass,castle of glass
Who We Are,Switchfoot,who we are,who we are
Recovery,Frank Turner,recovery,recovery
Something From Nothing,Foo Fighters,something from nothing,something from nothing
Fever,The Black Keys,fever,fever
Do I Wanna Know?,Arctic Monkeys,do i wanna know?,do i wanna know?
Stolen Dance,Milky Chance,stolen dance,stolen dance
Shepherd Of Fire,Avenged Sevenfold,shepherd of fire,shepherd of fire
Riptide,Vance Joy,riptide,riptide
Come With Me Now,KONGOS,come with me now,come with me now
Heaven Knows,The Pretty Reckless,heaven knows,heaven knows
Words As Weapons,Seether,words as weapons,words as weapons
Painkiller,Three Days Grace,painkiller,painkiller
Messed Up World (F'd Up World),The Pretty Reckless,messed up world (f'd up world),messed up world
Take Out The Gunman,Chevelle,take out the gunman,take out the gunman
1000HP,Godsmack,1000hp,1000hp
Guilty All The Same,Linkin Park featuring Rakim,guilty all the same,guilty all the same
Torn To Pieces,Pop Evil,torn to pieces,torn to pieces
Edge Of A Revolution,Nickelback,edge of a revolution,edge of a revolution
Tired,Stone Sour,tired,tired
The Walker,Fitz & The Tantrums,the walker,the walker
I Wanna Get Better,Bleachers,i wanna get better,i wanna get better
World On Fire,Slash featuring Myles Kennedy & The Conspirators,world on fire,world on fire
Until it's Gone,Linkin Park,until it's gone,until its gone
Wrong Side Of Heaven,Five Finger Death Punch,wrong side of heaven,wrong side of heaven
Team,Lorde,team,team
Take Me To Church,Hozier,take me to church,take me to church
Bad Blood,Bastille,bad blood,bad blood
This Is The Time (Ballast),Nothing More,this is the time (ballast),this is the time
What If I Was Nothing,All That Remains,what if i was nothing,what if i was nothing
Out Of The Black,Royal Blood,out of the black,out of the black
It's About Time,Young The Giant,it's about time,its about time
Left Hand Free,alt-J,left hand free,left hand free
The Devil In I,Slipknot,the devil in i,the devil in i
Figure It Out,Royal Blood,figure it out,figure it out
Dead But Rising,Volbeat,dead but rising,dead but rising
My Sweet Summer,The Dirty Heads,my sweet summer,my sweet summer
Fall In Love,Phantogram,fall in love,fall in love
Afraid,The Neighbourhood,afraid,afraid
Addicted To Pain,Alter Bridge,addicted to pain,addicted to pain
Adrenaline,Shinedown,adrenaline,adrenaline
Room To Breathe,You Me At Six,room to breathe,room to breathe
This Means War,Avenged Sevenfold,this means war,this means war
Centuries,Fall Out Boy,centuries,centuries
Drown,Theory Of A Deadman,drown,drown
Coming Of Age,Foster The People,coming of age,coming of age
My Demons,Starset,my demons,my demons
Why'd You Only Call Me When You're High?,Arctic Monkeys,why'd you only call me when you're high?,whyd you only call me when youre high?
Flaws,Bastille,flaws,flaws
Weak,Seether,weak,weak
A Sky Full Of Stars,Coldplay,a sky full of stars,a sky full of stars
Hater,Korn,hater,hater
Spike In My Veins,Korn,spike in my veins,spike in my veins
I Don't Want To Be Here Anymore,Rise Against,i don't want to be here anymore,i dont want to be here anymore
Back To The Shack,Weezer,back to the shack,back to the shack
Play Ball,AC/DC,play ball,play ball
Something Different,Godsmack,something different,something different
Lightning Bolt,Pearl Jam,lightning bolt,lightning bolt
Unbelievers,Vampire Weekend,unbelievers,unbelievers
Beautiful,Pop Evil,beautiful,beautiful
Dog On A Leash,Adelitas Way,dog on a leash,dog on a leash
Giants,Bear Hands,giants,giants
Moth,HellYeah,moth,moth
Not Gonna Die,Skillet,not gonna die,not gonna die
Lazaretto,Jack White,lazaretto,lazaretto
Doc Holliday,Volbeat,doc holliday,doc holliday
House Of Gold,twenty one pilots,house of gold,house of gold
Yellow Flicker Beat,Lorde,yellow flicker beat,yellow flicker beat
Wait For Me,Kings Of Leon,wait for me,wait for me
Times Are Hard,Redlight King,times are hard,times are hard
Hunter Eats Hunter,Chevelle,hunter eats hunter,hunter eats hunter
Beggin For Thread,Banks,beggin for thread,beggin for thread
Romantic Dreams,Deftones,romantic dreams,romantic dreams
One For The Money,Escape The Fate,one for the money,one for the money
Magic,Coldplay,magic,magic
I'm Only Joking,KONGOS,i'm only joking,im only joking
Whore,In This Moment,whore,whore
Take The Bullets Away,We As Human featuring Lacey Strum,take the bullets away,take the bullets away
The Mother We Share,CHVRCHES,the mother we share,the mother we share
Take It Or Leave It,Cage The Elephant,take it or leave it,take it or leave it
House Of The Rising Sun,Five Finger Death Punch,house of the rising sun,house of the rising sun
Sleeping With A Friend,Neon Trees,sleeping with a friend,sleeping with a friend
The Only Way Out,Bush,the only way out,the only way out
Gotta Get It Right,Sixx: A.M.,gotta get it right,gotta get it right
Heavy Bells,J. Roddy Walston & The Business,heavy bells,heavy bells
Gotta Get Away,The Black Keys,gotta get away,gotta get away
Fools Gold,Fitz & The Tantrums,fools gold,fools gold
Cardiac Arrest,Bad Suns,cardiac arrest,cardiac arrest
Sleepwalking,Bring Me The Horizon,sleepwalking,sleepwalking
Trainwreck 1979,Death From Above 1979,trainwreck 1979,trainwreck 1979
Dangerous,Big Data (feat. Joywave),dangerous,dangerous
Always,Killswitch Engage,always,always
I Sat By The Ocean,Queens Of The Stone Age,i sat by the ocean,i sat by the ocean
Mz. Hyde,Halestorm,mz. hyde,mz hyde
Mind Over Matter,Young The Giant,mind over matter,mind over matter
Weekend,Priory,weekend,weekend
Gunfight,Sick Puppies,gunfight,gunfight
Rebellion,Linkin Park featuring Daron Malakian,rebellion,rebellion
Best Friend,Foster The People,best friend,best friend
Cannibal,Silversun Pickups,cannibal,cannibal
Me And Mary Jane,Black Stone Cherry,me and mary jane,me and mary jane
Tonight You're Perfect,New Politics,tonight you're perfect,tonight youre perfect
Take It As It Comes,J. Roddy Walston & The Business,take it as it comes,take it as it comes
Stressed Out,twenty one pilots,stressed out,stressed out
Renegades,X Ambassadors,renegades,renegades
Failure,Breaking Benjamin,failure,failure
First,Cold War Kids,first,first
Cut The Cord,Shinedown,cut the cord,cut the cord
I Am Machine,Three Days Grace,i am machine,i am machine
The Light,Disturbed,the light,the light
Dead Inside,Muse,dead inside,dead inside
Shut Up + Dance,Walk The Moon,shut up + dance,shut up + dance
Cigarette Dream,Cage The Elephant,cigarette dream,cigarette dream
Footsteps,Pop Evil,footsteps,footsteps
Angels Fall,Breaking Benjamin,angels fall,angels fall
Ex's & Oh's,Elle King,ex's & oh's,exs & ohs
Lampshade On Fire,Modest Mouse,lampshade on fire,lampshade on fire
Congregation,Foo Fighters,congregation,congregation
Throne,Bring Me The Horizon,throne,throne
Heavy Is The Head,Zac Brown Band featuring Chris Cornell,heavy is the head,heavy is the head
Hollow Moon (Bad Wolf),AWOLNATION,hollow moon (bad wolf),hollow moon
Believe,Mumford & Sons,believe,believe
Follow Me Down,The Pretty Reckless,follow me down,follow me down
The Otherside,Red Sun Rising,the otherside,the otherside
Little Monster,Royal Blood,little monster,little monster
Face Everything And Rise,Papa Roach,face everything and rise,face everything and rise
The Vengeful One,Disturbed,the vengeful one,the vengeful one
Apocalyptic,Halestorm,apocalyptic,apocalyptic
Coming For You,The Offspring,coming for you,coming for you
Tear In My Heart,twenty one pilots,tear in my heart,tear in my heart
Angel,Theory Of A Deadman,angel,angel
